,id,brand,title,price
0,384,apple,"apple iphone 6 (space grey, 32 gb)",23999.00
1,385,apple,"apple iphone 6s (space grey, 32 gb)",33999.00
2,386,apple,"apple iphone 6s (rose gold, 32 gb)",33999.00
3,387,apple,"apple iphone se (space grey, 32 gb)",17999.00
4,388,apple,"apple iphone 6 (gold, 32 gb)",24299.00
5,389,apple,"apple iphone 6s (gold, 32 gb)",33999.00
6,390,apple,"apple iphone se (rose gold, 32 gb)",17999.00
7,391,apple,"apple iphone 7 (rose gold, 32 gb)",43999.00
8,392,apple,"apple iphone se (silver, 32 gb)",17999.00
9,393,apple,"apple iphone se (gold, 32 gb)",17999.00
10,394,apple,"apple iphone 6s plus (gold, 32 gb)",37999.00
11,395,apple,"apple iphone 6s plus (space grey, 32 gb)",37999.00
12,396,apple,"apple iphone x (space gray, 64 gb)",81999.00
13,397,apple,"apple iphone 6s (silver, 32 gb)",34999.00
14,398,apple,"apple iphone x (space gray, 256 gb)",97999.00
15,399,apple,"apple iphone 8 plus (product)red (red, 256 gb)",85999.00
16,400,apple,"apple iphone se (rose gold, 128 gb)",28490.00
17,401,apple,"apple iphone 7 plus (jet black, 128 gb)",65999.00
18,402,apple,"apple iphone 8 (space grey, 256 gb)",69999.00
19,403,apple,"apple iphone 7 (black, 128 gb)",53999.00
20,404,apple,"apple iphone 7 (jet black, 128 gb)",56999.00
21,405,apple,"apple iphone 8 plus (space grey, 256 gb)",83999.00
22,406,apple,"apple iphone 7 plus (black, 128 gb)",65999.00
23,407,apple,"apple iphone 7 (jet black, 32 gb)",45999.00
24,408,apple,"apple iphone 6 (silver, 64 gb)",44999.00
25,409,apple,"apple iphone 6 (gold, 64 gb)",53074.00
26,410,apple,"apple iphone 4 (white, 8 gb)",22900.00
27,411,apple,"apple iphone 7 (rose gold, 256 gb)",57875.00
28,412,apple,"apple iphone se (space grey, 16 gb)",20999.00
29,413,apple,"apple iphone 7 (black, 256 gb)",61999.00
30,414,apple,"apple iphone se (rose gold, 64 gb)",32999.00
31,415,apple,"apple iphone 7 (gold, 256 gb)",57788.00
32,416,apple,"apple iphone se (gold, 64 gb)",43999.00
33,417,apple,"apple iphone 6s (space grey, 16 gb)",62000.00
34,418,apple,"apple iphone 6s (rose gold, 64 gb)",49999.00
35,419,apple,"apple iphone 6s (rose gold, 16 gb)",62000.00
