ticker,매출액(억원),영업이익률(%),순이익률(%),당기순이익(억원),ROE(%),ROA(%),ROIC(%),EPS(원),BPS(원),SPS(원),PER(배),PBR(배),PSR(배),price,price2
AK홀딩스,28071.479,3.787,-1.334,-374.43063,-7.6770000000000005,-1.421,15.1196,-3245.7412,43497.723,211899.22,-19.47167,1.45295,0.29825,63200.0,56000.0
BGF,43342.8,4.2360000000000015,3.5260000000000002,1528.4127,22.771,10.327,271.9567,3071.8716,15605.457,87779.875,28.77862,5.66495,1.00711,44202.0,42140.0
BNK금융지주,51740.254,13.455,10.253,5304.7119999999995,9.116,0.609,,1853.1799,21665.062,19749.037,4.54354,0.38864,0.42635,8420.0,8680.0
BYC,1821.9598,11.597999999999999,7.222,131.58138,3.5460000000000003,2.024,13.2353,15693.808,453030.62,216899.98,29.27907,1.0142799999999998,2.11849,459500.0,397000.0
CJ,211667.08,5.789,2.6039999999999996,5511.1553,5.874,2.365,5.8208,5780.626,110304.56,594563.9,40.94442,2.14574,0.39808000000000004,236684.0,176334.0
CJ CGV,11935.163999999999,5.605,4.374,521.9924,12.937000000000001,3.906,6.5241,2454.6638,19898.531000000006,56400.867,51.330859999999994,6.33213,2.23401,126000.0,70400.0
CJ대한통운,50557.664000000004,3.6919999999999997,0.9690000000000001,489.84005999999994,2.0140000000000002,1.083,4.5963,2013.9575,131809.67,221624.16,94.83814,1.44906,0.86182,191000.0,179000.0
CJ씨푸드,1617.1663,3.491,1.578,25.523947,5.244,2.62,5.2574,70.64324,1384.3945,4475.8696,49.40317,2.5209599999999996,0.77974,3490.0,3470.0
CJ제일제당,129244.73,5.814,1.963,2536.6677,6.1770000000000005,1.87,5.1524,13073.361,222485.64,892773.56,28.87551,1.6967400000000001,0.42283999999999994,377500.0,357500.0
CS홀딩스,1389.7075,16.333,21.302,296.03867,10.913,10.857999999999999,12.2726,18717.416,178497.38,120374.984,4.2367,0.44426000000000004,0.65877,79300.0,80700.0
DB,2036.7120000000002,4.793,6.475,131.86937,9.552999999999999,4.1080000000000005,158.076,72.40544,964.225,1118.2964,6.8434,0.5144,0.4431,495.0,734.0
DB금융투자,13439.7295,0.774,-0.632,-84.90388,-1.232,-0.114,,-176.1182,14547.395,31662.834,-22.00227000000001,0.26637,0.12237999999999999,3875.0,3240.0
DB손해보험,159562.39,3.549,2.698,4304.435,11.859000000000002,1.149,,5915.163000000001,60124.957,225370.61,11.88471,1.16923,0.31193000000000004,70300.0,62500.0
DB하이텍,6665.9497,18.747,19.012,1267.3335,67.634,12.869000000000002,18.2773,2847.2259999999997,5870.0054,14975.903999999999,5.02243,2.4361099999999998,0.9548700000000001,14300.0,15900.0
DGB금융지주,35077.246,9.777999999999999,8.79,3083.1848,9.177999999999999,0.669,,1769.6827,20624.492,21107.129,5.67898,0.48728,0.47613999999999995,10050.0,9770.0
DRB동일,6030.5947,12.228,8.719,525.78796,14.949000000000002,8.37,13.1414,2069.2822,15345.916000000001,30258.879,5.80802,0.78317,0.39718000000000003,12018.0,11772.0
DSR,2147.6829,5.932,4.65,99.87442,8.574,5.5310000000000015,7.6362,621.3668,7546.1245,13423.018999999998,6.5822600000000016,0.542,0.3047,4090.0,9300.0
DSR제강,1826.8196,5.526,5.401,98.670975,8.699,5.107,6.7066,685.21515,8199.245,12686.247,5.5457,0.46346000000000004,0.29954000000000003,3800.0,8820.0
E1,46142.57,0.687,0.002,1.0352143,0.871,0.003,-2.1773,1454.1315,198972.8,672632.25,42.22452,0.30858,0.09128,61400.0,62700.0
F&F,3700.12,5.07,3.362,124.40488,6.393,3.792,4.797,807.82385,12963.566,24026.754,21.97261,1.36922,0.7387600000000001,17750.0,17450.0
GKL,5056.635,23.41,18.141,917.31836,20.668000000000006,14.095999999999998,,1482.9979999999994,7375.878000000002,8174.893,16.3183,3.2809699999999995,2.96028,24200.0,20450.0
GS,121795.1,13.172,4.1819999999999995,5093.19,8.051,2.988,10.4608,5197.4966,66763.91,128611.234,9.7547,0.75939,0.39421,50700.0,54100.0
GS건설,105726.2,1.155,0.27899999999999997,294.76718,0.795,0.226,-4.1912,367.0946,47214.85,148910.14,53.80085,0.4183,0.13263,19750.0,26500.0
GS글로벌,22620.234,1.278,-2.066,-467.2865,-20.642,-5.638999999999999,6.9551,-1409.1572,6097.526999999999,68267.55,-2.77035,0.6402399999999999,0.057179999999999995,3903.0,3095.0
GS리테일,62731.42,3.5989999999999998,2.65,1662.2958,9.453,4.343,22.4916,2132.5713,23280.56,81469.375,25.22776,2.31094,0.66037,53800.0,47600.0
HDC,46026.085999999996,8.463,5.184,2385.8108,9.554,4.169,12.8638,2875.8728,32039.002,61055.367,14.14579,1.26975,0.6663100000000001,28848.0,33421.0
HDC현대EP,8677.482,6.997000000000001,5.169,448.57062,22.564,7.978,13.2974,1406.1775,6854.9230000000025,27202.139,7.82263,1.60469,0.40438,11000.0,9360.0
HSD엔진,6936.4507,-9.191,-18.085,-1254.4249,-19.671,-8.515,-20.5041,-1804.9279,8268.671999999999,9980.505,,0.36646999999999996,,2234.0,2290.0
JB금융지주,19949.09,9.847000000000001,7.565,1509.07,5.722,0.401,,881.1484,13766.615,15327.696000000002,6.24185,0.39952,0.35883000000000004,5500.0,5780.0
JW중외제약,4343.524,4.956,0.452,19.61427,0.8809999999999999,0.326,3.4648,95.02461,10889.249,21042.926,352.55298,3.07654,1.59204,33501.0,49313.0
JW홀딩스,6228.2534,5.372000000000001,0.054000000000000006,3.36323,0.184,0.032,5.5403,2.93205,1684.6578,10066.348,2808.2625,4.88762,0.81796,8233.0,8308.0
KB금융,222332.77,8.191,7.769,17273.06,6.066,0.542,,4395.782,74234.49,57546.73,7.54132,0.44656,0.57605,33150.0,42800.0
