ticker,매출액(억원),영업이익률(%),순이익률(%),당기순이익(억원),ROE(%),ROA(%),ROIC(%),EPS(원),BPS(원),SPS(원),PER(배),PBR(배),PSR(배),price,price2
AK홀딩스,37111.832,7.268,5.568,2066.204,13.824000000000002,6.515,13.9594,8069.8794,64784.965,280140.84,6.69155,0.8335299999999999,0.19276,54000.0,34600.0
BGF,2205.9392,13.361,21.399,472.04822,4.374,3.802,7.1021,574.9155,15720.137,2627.4214,14.03684,0.51335,3.07145,8070.0,5600.0
BNK금융지주,50554.26,14.832,10.645,5381.4087,6.837999999999999,0.557,,1540.4742,23401.354,15510.523,4.75827,0.31323,0.47258,7330.0,7660.0
BYC,1978.6407,10.789,4.595,90.92446,2.256,1.225,7.9669,10832.992,488185.8,235552.48,22.70841,0.5039100000000001,1.04435,246000.0,236500.0
CJ,295234.34,4.513,2.9810000000000003,8800.271999999999,6.9110000000000005,2.883,3.7902,7740.5093,125257.18,827827.94,15.69664,0.97,0.14677,121500.0,96600.0
CJ CGV,17693.564,4.392,-10.656,-1885.4109,-67.01100000000001,-8.033,1.0574,-6646.701,5283.618,83612.79,-6.16847,7.75983,0.49036,41000.0,34550.0
CJ대한통운,92196.805,2.632,0.722,666.0007,2.106,0.941,3.0142,2308.7249,146187.47,404153.16,72.3343,1.14237,0.41321,167000.0,155000.0
CJ씨푸드,1507.0309,2.7430000000000003,1.43,21.546135,3.537,1.747,3.3504,59.63375,1709.5391,4171.045,38.90414000000001,1.35709,0.5562199999999999,2320.0,2695.0
CJ제일제당,186700.6,4.46,4.957,9253.887,21.456,5.089,3.8892,54173.46,298493.75,1155702.9,6.10077,1.10723,0.28597,330500.0,252500.0
CS홀딩스,1225.5087,10.868,10.315,126.41149,2.885,4.166,10.675,5434.8735,190644.47,106152.26,11.7574,0.33518000000000003,0.60197,63900.0,58500.0
DB,2371.1265,0.665,-1.6769999999999998,-39.754196,-2.873,-1.636,4.171,-19.99923,720.13635,1192.8477,-41.5516,1.15395,0.69665,831.0,880.0
DB금융투자,8487.110999999999,10.181,7.438,631.2402,8.577,0.774,,1280.3809,15875.086,19994.896,3.47162,0.28,0.22231,4445.0,4235.0
DB손해보험,174545.12,4.129,3.0810000000000004,5377.738,11.059,1.083,,7521.7354,80536.37,246532.66,9.35954,0.8741399999999999,0.28556,70400.0,52300.0
DB하이텍,6692.7915,16.883,12.973,868.28766,17.123,8.427999999999999,13.627,1950.7188,12863.38,15036.207,5.56205,0.8434799999999999,0.72159,10850.0,27600.0
DGB금융지주,41607.48,8.091000000000001,9.759,4060.2666,9.298,0.667,,2267.4836,25684.055,24598.584,3.66486,0.32355,0.33782,8310.0,7120.0
DRB동일,5454.3135,4.959,2.014,109.86419,1.733,1.579,3.412,296.01953,17770.291,27367.354,22.1607,0.36916,0.2397,6560.0,5260.0
DSR,2360.2236,4.197,3.398,80.19141,5.539,3.5380000000000003,4.567,494.26956,9126.512,14751.398,8.072519999999999,0.43719,0.27048,3990.0,4590.0
DSR제강,1852.5402,3.367,3.987,73.86780999999998,5.55,3.679,4.2106,512.97095,9454.414,12864.862,8.382539999999999,0.4548100000000001,0.33424,4300.0,4550.0
E1,46301.996,0.303,1.711,792.42175,6.474,2.256,1.3348,11383.94,180482.94,674956.2,4.90164,0.30917,0.08267000000000001,55800.0,48300.0
F&F,6687.268,13.685,16.344,1092.9857,31.641,24.399,25.6704,7089.2393,25592.645,43423.82,5.64941,1.5649,0.9223,40050.0,112000.0
GKL,4803.392,21.872,16.185,777.4063,,,,1256.8069,9087.066,7765.484,19.81211,2.74016,3.2065,24900.0,19450.0
GS,177443.84,12.454,5.807,10304.6,11.136,4.617,9.3416,9537.445,89679.54,187374.31,5.41025,0.57538,0.27538,51600.0,51600.0
GS건설,131393.73,8.102,4.471,5874.3438,17.335,4.566,32.1661,7712.8135,45064.37,174096.83,5.67238,0.97083,0.2513,43750.0,31050.0
GS글로벌,40585.277,1.383,0.519,210.58575,5.478,1.541,5.3907,248.92432,4638.076,49174.15,9.90261,0.53147,0.05013,2465.0,2220.0
GS리테일,86916.125,2.074,1.523,1323.3584,5.857,2.597,5.608,1566.1781,27115.926,112878.08,25.85913,1.49359,0.35879,40500.0,39250.0
HDC,15478.408,6.165,60.168,9313.032,38.81800000000001,18.721,19.4174,16984.383,33407.906,28665.518,1.01564,0.5163399999999999,0.60177,17250.0,11050.0
HDC현대EP,9108.096,1.5759999999999998,0.933,84.96106999999998,3.023,1.401,2.5309,266.33563,9134.87,28552.025,16.12627,0.47018,0.15043,4295.0,5010.0
HSD엔진,5113.021,-6.909,-3.653,-186.80215,-4.8260000000000005,-1.892,-12.1739,-385.40076,7013.7065,10548.926,-13.700029999999998,0.7528100000000001,0.50052,5280.0,4470.0
JB금융지주,24489.29,17.019000000000002,13.109000000000002,3210.29,8.687000000000001,0.68,,1464.864,16114.132,14852.2295,3.89115,0.35373000000000004,0.38378,5700.0,5490.0
JW중외제약,5371.82,4.018,1.5,80.56888599999998,3.035,1.3159999999999998,2.8584,356.3684,11616.308,23760.373,111.23645,3.4125400000000004,1.66837,39641.0,29600.0
JW홀딩스,7253.82,4.593,5.023,364.39377,13.318,2.779,-58.0777,348.6598,2741.8918,10915.853,19.90604,2.53126,0.6358199999999999,6940.0,6350.0
KB금융,420271.06,10.154,7.286,30619.46,8.779,0.6679999999999999,,7321.4697,90263.68,100516.49,6.35118,0.5151600000000001,0.46261,46500.0,47650.0
KC그린홀딩스,5347.2075,2.483,3.51,187.69762,7.604,3.152,3.5122,571.0156,7902.276999999999,23834.242,6.52346,0.47138,0.15629,3725.0,4820.0
KC코트렐,1820.4391,2.055,1.208,21.98641,5.405,1.1,2.5261,320.4301,5996.156,14003.378,13.294629999999998,0.7104600000000001,0.30421,4260.0,6850.0
KEC,2173.7458,1.537,0.8059999999999999,17.52673,0.6709999999999999,0.493,1.1878,13.03348,1952.7096,1933.6512,79.41088,0.53003,0.5352600000000001,1035.0,1035.0
KG케미칼,12827.767,5.649,2.164,277.6562,1.367,1.858,5.7395,269.51678,20169.967,103111.54,64.55999,0.86267,0.16875,17400.0,12000.0
KISCO홀딩스,13147.55,4.744,2.762,363.1978,3.295,2.394,7.5854,1372.2798,50920.27,71158.69,10.01982,0.27003,0.19323,13750.0,12800.0
KPX케미칼,7666.82,3.111,1.567,120.16347,2.543,2.218,5.3091,2284.362,91476.31,158405.36,22.93857,0.5728300000000001,0.3308,52400.0,55600.0
KPX홀딩스,10224.2,3.309,1.442,147.44539,0.604,1.007,2.1064,871.4132,148270.92,242013.17,70.23075,0.41276,0.25288,61200.0,54400.0
KR모터스,365.63364,-44.463,-66.84899999999999,-244.4208,-49.307,-18.563,-17.7653,-755.4773,1117.3717,1181.7474,-2.14699,1.45162,1.37255,500.0,279.0
KSS해운,2025.0483,23.264,10.279000000000002,208.15916,8.732999999999999,2.303,5.4867,897.8167,11139.965,8733.972,7.217510000000001,0.5816899999999999,0.74193,6480.0,7730.0
KTB투자증권,3586.977000000001,10.348,9.578,343.54547,6.725,1.855,,478.21115,7359.5747,5080.932,6.18973,0.4022,0.58257,2960.0,2345.0
KTcs,10160.852,1.227,1.122,114.01358,7.298999999999999,3.264,13.1579,265.3772,3736.8838,23804.268,9.36403,0.66499,0.10439,2485.0,2260.0
KTis,4508.2603,1.995,1.753,79.00863000000003,4.915,3.488,6.9724,227.02325,4737.3965,12954.026000000002,10.76982,0.5161100000000001,0.18874,2445.0,2300.0
LF,17066.82,7.002000000000002,4.766,813.39777,7.346,5.011,9.7235,2846.0337,40126.426,58368.06200000001,8.73145,0.61929,0.42575,24850.0,18500.0
LG,119447.9,16.441,15.763,18828.97,10.964,8.465,66.1891,10597.952,102398.59,67917.59,6.5956100000000015,0.6826300000000001,1.02919,69900.0,73800.0
LG디스플레이,243365.7,0.382,-0.737,-1794.43,-1.462,-0.5760000000000001,0.105,-579.17804,39068.125,68014.266,-31.16485,0.46201,0.26539,18050.0,16250.0
